id,partTyp,maxLevel,iniHp,groHp,iniAtk,groAtk,iniPdd,groPdd,iniMdd,groMdd,iniHpCoe,groHpCoe,iniAtkCoe,groAtkCoe,iniPddCoe,groPddCoe,iniMddCoe,groMddCoe,quaCoe,aCoe,bCoe,stars,iniCriPrb,groCriPrb,iniCriRes,groCriRes,iniHit,groHit,iniMiss,groMiss
21001,1,15,256,16.5,0,0,0,0,38,2.43,0,0,0,0,0,0,0,0,3.47,8.25,6.6,0,0,0,0,0,0,0,0,0
21002,1,30,514,16.5,0,0,0,0,77,2.43,0,0,0,0,0,0,0,0,3.81,9,7.2,0,0,0,0,0,0,0,0,0
21003,1,35,655,16.5,0,0,0,0,98,2.43,0,0,0,0,0,0,0,0,3.81,9,7.2,1,0,0,0,0,0,0,0,0
21004,1,40,797,16.5,0,0,0,0,119,2.43,0,0,0,0,0,0,0,0,3.81,9,7.2,2,0,0,0,0,0,0,0,0
21005,1,50,1134,16.5,0,0,0,0,168,2.43,0,0,0,0,0,0,0,0,4.85,11.46,9.17,0,0,0,0,0,0,0,0,0
21006,1,55,1347,16.5,0,0,0,0,200,2.43,0,0,0,0,0,0,0,0,4.85,11.46,9.17,1,0,0,0,0,0,0,0,0
21007,1,60,1560,16.5,0,0,0,0,231,2.43,0,0,0,0,0,0,0,0,4.85,11.46,9.17,2,0,0,0,0,0,0,0,0
21008,1,65,1772,16.5,0,0,0,0,263,2.43,0,0,0,0,0,0,0,0,4.85,11.46,9.17,3,0,0,0,0,0,0,0,0
21009,1,80,2198,16.5,0,0,0,0,326,2.43,0,0,0,0,0,0,0,0,6.41,15.15,12.12,0,0,0,0,0,0,0,0,0
21010,1,85,2481,16.5,0,0,0,0,368,2.43,0,0,0,0,0,0,0,0,6.41,15.15,12.12,1,0,0,0,0,0,0,0,0
21011,1,90,2765,16.5,0,0,0,0,410,2.43,0,0,0,0,0,0,0,0,6.41,15.15,12.12,2,0,0,0,0,0,0,0,0
21012,1,95,3048,16.5,0,0,0,0,452,2.43,0,0,0,0,0,0,0,0,6.41,15.15,12.12,3,0,0,0,0,0,0,0,0
21013,1,110,3615,16.5,0,0,0,0,536,2.43,0,0,0,0,0,0,0,0,8.64,20.46,16.37,0,0,0,0,0,0,0,0,0
21014,1,120,3969,16.5,0,0,0,0,588,2.43,0,0,0,0,0,0,0,0,8.64,20.46,16.37,1,0,0,0,0,0,0,0,0
21015,1,130,4324,16.5,0,0,0,0,641,2.43,0,0,0,0,0,0,0,0,8.64,20.46,16.37,2,0,0,0,0,0,0,0,0
21016,1,140,4678,16.5,0,0,0,0,693,2.43,0,0,0,0,0,0,0,0,8.64,20.46,16.37,3,0,0,0,0,0,0,0,0
21017,1,150,5033,16.5,0,0,0,0,746,2.43,0,0,0,0,0,0,0,0,8.64,20.46,16.37,4,0,0,0,0,0,0,0,0
21018,1,160,5670,16.5,0,0,0,0,840,2.43,0,0,0,0,0,0,0,0,12.27,29.055,23.25,0,0,0,0,0,0,0,0,0
22001,2,15,256,16.5,0,0,38,2.43,0,0,0,0,0,0,0,0,0,0,3.47,8.25,6.6,0,0,0,0,0,0,0,0,0
22002,2,30,514,16.5,0,0,77,2.43,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,0,0,0,0,0,0,0,0,0
22003,2,35,655,16.5,0,0,98,2.43,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,1,0,0,0,0,0,0,0,0
22004,2,40,797,16.5,0,0,119,2.43,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,2,0,0,0,0,0,0,0,0
22005,2,50,1134,16.5,0,0,168,2.43,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,0,0,0,0,0,0,0,0,0
22006,2,55,1347,16.5,0,0,200,2.43,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,1,0,0,0,0,0,0,0,0
22007,2,60,1560,16.5,0,0,231,2.43,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,2,0,0,0,0,0,0,0,0
22008,2,65,1772,16.5,0,0,263,2.43,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,3,0,0,0,0,0,0,0,0
22009,2,80,2198,16.5,0,0,326,2.43,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,0,0,0,0,0,0,0,0,0
22010,2,85,2481,16.5,0,0,368,2.43,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,1,0,0,0,0,0,0,0,0
22011,2,90,2765,16.5,0,0,410,2.43,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,2,0,0,0,0,0,0,0,0
22012,2,95,3048,16.5,0,0,452,2.43,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,3,0,0,0,0,0,0,0,0
22013,2,110,3615,16.5,0,0,536,2.43,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,0,0,0,0,0,0,0,0,0
22014,2,120,3969,16.5,0,0,588,2.43,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,1,0,0,0,0,0,0,0,0
22015,2,130,4324,16.5,0,0,641,2.43,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,2,0,0,0,0,0,0,0,0
22016,2,140,4678,16.5,0,0,693,2.43,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,3,0,0,0,0,0,0,0,0
22017,2,150,5033,16.5,0,0,746,2.43,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,4,0,0,0,0,0,0,0,0
22018,2,160,5670,16.5,0,0,840,2.43,0,0,0,0,0,0,0,0,0,0,12.27,29.055,23.25,0,0,0,0,0,0,0,0,0
23001,3,15,0,0,100,6.39,0,0,0,0,0,0,0,0,0,0,0,0,3.47,8.25,6.6,0,0,0,0,0,0,0,0,0
23002,3,30,0,0,200,6.39,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,0,0,0,0,0,0,0,0,0
23003,3,35,0,0,255,6.39,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,1,0,0,0,0,0,0,0,0
23004,3,40,0,0,310,6.39,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,2,0,0,0,0,0,0,0,0
23005,3,50,0,0,441,6.39,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,0,0,0,0,0,0,0,0,0
23006,3,55,0,0,524,6.39,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,1,0,0,0,0,0,0,0,0
23007,3,60,0,0,607,6.39,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,2,0,0,0,0,0,0,0,0
23008,3,65,0,0,690,6.39,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,3,0,0,0,0,0,0,0,0
23009,3,80,0,0,855,6.39,0,0,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,0,0,0,0,0,0,0,0,0
23010,3,85,0,0,965,6.39,0,0,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,1,0,0,0,0,0,0,0,0
23011,3,90,0,0,1075,6.39,0,0,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,2,0,0,0,0,0,0,0,0
23012,3,95,0,0,1186,6.39,0,0,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,3,0,0,0,0,0,0,0,0
23013,3,110,0,0,1406,6.39,0,0,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,0,0,0,0,0,0,0,0,0
23014,3,120,0,0,1544,6.39,0,0,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,1,0,0,0,0,0,0,0,0
23015,3,130,0,0,1682,6.39,0,0,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,2,0,0,0,0,0,0,0,0
23016,3,140,0,0,1820,6.39,0,0,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,3,0,0,0,0,0,0,0,0
23017,3,150,0,0,1957,6.39,0,0,0,0,0,0,0,0,0,0,0,0,8.64,20.46,16.37,4,0,0,0,0,0,0,0,0
23018,3,160,0,0,2205,6.39,0,0,0,0,0,0,0,0,0,0,0,0,12.27,29.055,23.25,0,0,0,0,0,0,0,0,0
24001,4,15,511,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,8.25,6.6,0,0,0,0,0,0,0,0,0
24002,4,30,1027,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,0,0,0,0,0,0,0,0,0
24003,4,35,1310,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,1,0,0,0,0,0,0,0,0
24004,4,40,1594,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9,7.2,2,0,0,0,0,0,0,0,0
24005,4,50,2268,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,0,0,0,0,0,0,0,0,0
24006,4,55,2694,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,1,0,0,0,0,0,0,0,0
24007,4,60,3119,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,2,0,0,0,0,0,0,0,0
24008,4,65,3544,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,11.46,9.17,3,0,0,0,0,0,0,0,0
24009,4,80,4395,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,15.15,12.12,0,0,0,0,0,0,0,0,0
